 id;name;price;ref
122;Соус Спайси;30;https://pp.userapi.com/c841637/v841637708/742f1/kjn4xxskw6w.jpg
123;Соус Васаби;15;https://pp.userapi.com/c841234/v841234991/67b9e/DMQ996GQqPc.jpg
124;Соевый соус ;15;https://pp.userapi.com/c841136/v841136991/6e8e6/oagvkchn0ZY.jpg
125;Соус Унаги;30;https://pp.userapi.com/c840728/v840728536/4e21a/rVWKCrfx5C0.jpg
126;Салат Чука;130;https://pp.userapi.com/c840728/v840728536/4e212/nozax1o8iEQ.jpg
127;Имбирь;15;https://pp.userapi.com/c841136/v841136991/6e8df/LD5r_ABUDtM.jpg
